source,target,dist,street_name
13158318989,1470720024,6.74,Oud-Heverleestraat
13158318990,203289138,12.6,Oud-Heverleestraat
13158318990,13158318987,5.69,Oud-Heverleestraat
13158318991,13158318987,2.49,Oud-Heverleestraat
13158318991,13158318988,2.49,Oud-Heverleestraat
13158318997,13158319001,2.51,Oud-Heverleestraat
13158318997,13158319000,5.74,Oud-Heverleestraat
13158318998,13158318999,5.73,Oud-Heverleestraat
13158318998,13158319001,2.51,Oud-Heverleestraat
13158318999,1470720024,33.49,Oud-Heverleestraat
13158318999,13158318998,5.73,Oud-Heverleestraat
13158319000,13158318997,5.74,Oud-Heverleestraat
13158319000,17056049,56.0,Oud-Heverleestraat
3079701401,3079701402,11.48,Unnamed road
3079701401,11869583819,15.04,Unnamed road
3079701402,3079701401,11.48,Unnamed road
13158319001,13158318998,2.51,Oud-Heverleestraat
13158319001,13158318997,2.51,Oud-Heverleestraat
2922644425,2495107115,7.32,Unnamed road
2922644425,2922644427,10.4,Unnamed road
2922644427,3463470668,3.73,Unnamed road
2922644427,2922644425,10.4,Unnamed road
2922644427,2922644428,4.91,Unnamed road
2922644428,2922644427,4.91,Unnamed road
2922644428,2922644429,15.41,Unnamed road
2922644429,3471038329,6.64,Unnamed road
2922644429,3471038318,14.95,Unnamed road
2922644429,2922644428,15.41,Unnamed road
2161935322,13155784580,13.08,Kapeldreef
2161935322,3264434798,4.7,Unnamed road
2161935322,3264457265,42.64,Kapeldreef
2904327135,1199488090,7.32,Middelweg
2904327135,17056071,4.28,Middelweg
2904327135,13207287022,4.92,Unnamed road
2904327136,13207287022,35.35,Unnamed road
2161935336,2161935346,3.88,Unnamed road
2161935336,11188306941,4.14,Unnamed road
2161935336,2986012953,1.48,Unnamed road
13207405548,13207405549,1.77,Unnamed road
13207405549,13207405550,2.01,Unnamed road
13207405549,13207405548,1.77,Unnamed road
13207405550,13207405551,1.44,Unnamed road
13207405550,13207405549,2.01,Unnamed road
13207405551,13207405552,1.62,Unnamed road
13207405551,13207405550,1.44,Unnamed road
13207405552,13207405553,1.66,Unnamed road
13207405552,13207405551,1.62,Unnamed road
13207405553,13207405554,2.81,Unnamed road
13207405553,13207405552,1.66,Unnamed road
13207405554,13207405570,1.55,Unnamed road
13207405554,13207405553,2.81,Unnamed road
13207405555,273105985,74.65,Middelweg
13207405555,13207405593,6.3,Middelweg
13207405555,13207405569,1.9,Unnamed road
13207405555,13207405570,2.54,Unnamed road
13207405556,13207405557,15.39,Unnamed road
13207405556,13207405569,1.41,Unnamed road
13207405557,13207405558,1.96,Unnamed road
13207405557,13207405556,15.39,Unnamed road
13207405558,13207405559,2.37,Unnamed road
13207405558,13207405557,1.96,Unnamed road
13207405558,13207405657,5.89,Unnamed road
13207405559,13207405560,1.79,Unnamed road
13207405559,13207405558,2.37,Unnamed road
13207405560,13207405561,28.56,Unnamed road
13207405560,13207405559,1.79,Unnamed road
13207405561,13207405562,30.6,Unnamed road
13207405561,13207405560,28.56,Unnamed road
13207405562,1199488120,4.84,Unnamed road
13207405562,5390450444,3.66,Unnamed road
13207405562,13207405563,15.76,Unnamed road
13207405562,13207405561,30.6,Unnamed road
13207405563,13207405564,9.69,Unnamed road
13207405563,13207405562,15.76,Unnamed road
13207405564,13207405565,24.21,Unnamed road
13207405564,13207405563,9.69,Unnamed road
